sku,price,season,promo,demand
SKU_1,30,0,0,227.48357076505616
SKU_1,30,0,1,274.3086784941441
SKU_1,30,1,0,258.23844269050346
SKU_1,30,1,1,312.61514928204014
SKU_1,35,0,0,211.32923312638331
SKU_1,35,0,1,261.3293152152541
SKU_1,35,1,0,250.39606407753695
SKU_1,35,1,1,296.33717364576455
SKU_1,40,0,0,197.65262807032525
SKU_1,40,0,1,252.7128002179298
SKU_1,40,1,0,227.68291153593768
SKU_1,40,1,1,277.6713512321487
SKU_1,45,0,0,188.70981135783018
SKU_1,45,0,1,227.93359877671102
SKU_1,45,1,0,208.87541083743483
SKU_1,45,1,1,264.68856235379513
SKU_1,50,0,0,169.93584439832787
SKU_1,50,0,1,226.57123666297636
SKU_1,50,1,0,200.45987962239394
SKU_1,50,1,1,247.93848149332354
SKU_1,55,0,0,169.82824384460778
SKU_1,55,0,1,211.37111849756732
SKU_1,55,1,0,192.83764102343963
SKU_1,55,1,1,235.3762590689327
SKU_1,60,0,0,147.27808637737408
SKU_1,60,0,1,200.55461294854933
SKU_1,60,1,0,174.24503211288848
SKU_1,60,1,1,231.87849009172837
SKU_1,65,0,0,134.49680655040598
SKU_1,65,0,1,186.0415312510336
SKU_1,65,1,0,164.49146693885302
SKU_1,65,1,1,226.76139092254468
SKU_1,70,0,0,124.93251387631032
SKU_1,70,0,1,169.7114453552205
SKU_1,70,1,0,159.11272456051594
SKU_1,70,1,1,198.8957817501449
SKU_1,75,0,0,113.54431797502377
SKU_1,75,0,1,152.7016493806011
SKU_1,75,1,0,135.85906975550785
SKU_1,75,1,1,193.48430617934562
SKU_1,80,0,0,103.69233289997705
SKU_1,80,0,1,150.85684140594987
SKU_1,80,1,0,129.4217585880588
SKU_1,80,1,1,178.49448152205355
SKU_1,85,0,0,80.10739004816287
SKU_1,85,0,1,133.90077895802645
SKU_1,85,1,0,115.19680614520107
SKU_1,85,1,1,172.78561113109458
SKU_1,90,0,0,76.71809144784231
SKU_1,90,0,1,116.18479922318633
SKU_1,90,1,0,106.62041984697397
SKU_1,90,1,1,153.07458859791842
SKU_1,95,0,0,59.11538999847021
SKU_1,95,0,1,115.55838144420434
SKU_1,95,1,0,97.65499761247976
SKU_1,95,1,1,147.156400595581
SKU_1,100,0,0,45.80391238388681
SKU_1,100,0,1,98.45393812074393
SKU_1,100,1,0,81.65631715701782
